x_GeV_per_c2,y_cm2
1.204130782673054956e+00,5.521509573357367734e-40
1.205510867699516098e+00,5.402061891724182307e-40
1.206892534476653900e+00,5.284930134894445030e-40
1.208275784817353316e+00,5.170116892245309332e-40
1.209660620536576747e+00,5.057621670500621324e-40
1.211047043451366934e+00,4.947441069966840426e-40
1.212435055380849613e+00,4.839568957287860140e-40
1.213824658146234636e+00,4.733996634431086213e-40
1.215215853570819737e+00,4.630713003651598525e-40
1.216608643479992535e+00,4.529704728215389550e-40
1.218003029701232309e+00,4.430956388693041796e-40
1.219399014064113329e+00,4.334450634668195340e-40
1.220796598400305966e+00,4.240168331731070965e-40
1.222195784543580910e+00,4.148088703656410777e-40
1.223596574329810283e+00,4.058189469688515507e-40
1.224998969596969633e+00,3.970446976882611645e-40
1.226402972185142382e+00,3.884836327470925956e-40
1.227808583936519371e+00,3.801331501243745483e-40
1.229215806695404201e+00,3.719905472955917410e-40
1.230624642308213446e+00,3.640530324783948705e-40
1.232035092623480432e+00,3.563177353877449982e-40
1.233447159491856571e+00,3.487817175062225935e-40
1.234860844766114685e+00,3.414419818765105947e-40
1.236276150301151011e+00,3.342954824244080778e-40
1.237693077953988086e+00,3.273391328216257840e-40
1.239111629583776297e+00,3.205698148987777276e-40
1.240531807051796997e+00,3.139786792381771286e-40
1.241953612221465164e+00,3.076876475239735488e-40
1.243377046958330956e+00,3.015944863699446766e-40
1.244802113130083043e+00,2.956465516084639845e-40
1.246228812606550607e+00,2.898447189676305271e-40
1.247657147259705779e+00,2.842295678876619905e-40
1.249087118963666310e+00,2.787902609946466348e-40
1.250518729594698009e+00,2.734389875083612248e-40
1.251951981031216965e+00,2.682623978273923826e-40
1.253386875153792435e+00,2.632123416067416359e-40
1.254823413845148394e+00,2.582883110720714343e-40
1.256261598990167538e+00,2.535253280431189253e-40
1.257701432475892167e+00,2.488774564947287111e-40
1.259142916191527961e+00,2.443437863009621714e-40
1.260586052028445092e+00,2.399156739207747978e-40
1.262030841880182219e+00,2.355846841985904959e-40
1.263477287642447822e+00,2.313497044034909107e-40
1.264925391213123307e+00,2.272093207551989307e-40
1.266375154492265231e+00,2.231618460302252455e-40
1.267826579382107743e+00,2.192053453793245436e-40
1.269279667787065469e+00,2.153682002730636902e-40
1.270734421613735288e+00,2.115071748991118883e-40
