x_GeV_per_c2,y_cm2
4.519896208320748898e-01,nan
4.923931340444638871e-01,4.473396382065491632e-39
5.364083316953107694e-01,1.344241023358453453e-40
5.843580635431112613e-01,1.916818791795461611e-41
6.365940390012775341e-01,4.668549865844274001e-42
6.934994069129714056e-01,1.635209354205989462e-42
7.554915659329286548e-01,7.077869269376041761e-43
8.230252261303164785e-01,3.456336798491162824e-43
8.965957442693601731e-01,1.848411743561856137e-43
9.767427572318935214e-01,1.131786836616487235e-43
1.064054140232844947e+00,7.270815270348625805e-44
1.159170318862015936e+00,4.996852986298852271e-44
1.262788966580811412e+00,3.858833130725766640e-44
1.375670122129872830e+00,3.061512772786419365e-44
1.498641764383607633e+00,2.503090354039820554e-44
1.632605885542945057e+00,2.154645035334231398e-44
1.778545107212960552e+00,1.944019381630198236e-44
1.937529887894033243e+00,1.724646778543062769e-44
2.110726374753206347e+00,1.559613468552870529e-44
2.299404957268186056e+00,1.514862538378796472e-44
2.504949585484625096e+00,1.488862910588638341e-44
2.728867921235741179e+00,1.476230030023089290e-44
2.972802396783079892e+00,1.475241085455730554e-44
3.238542261993107019e+00,1.519403824523342721e-44
3.528036708415211997e+00,1.596614782444893499e-44
3.843409166525717957e+00,1.683222978903745723e-44
4.186972881007630320e+00,1.809111366609741519e-44
4.561247878310181747e+00,1.968525515634105327e-44
4.968979450944580378e+00,2.248839059938932003e-44
5.413158294097522472e+00,2.404874367221260290e-44
5.897042442263790818e+00,2.510311254855962945e-44
6.424181166802208409e+00,2.641802813608637398e-44
6.998441009702687232e+00,2.856042107687540483e-44
7.624034144520930312e+00,2.874867735518446667e-44
8.305549272507244396e+00,2.940553849003064332e-44
9.047985280551257503e+00,3.084215860494108561e-44
9.856787907822369021e+00,3.263193651799261389e-44
1.073788969005415694e+01,3.631069573677904592e-44
1.169775347446275582e+01,3.860206625137373387e-44
1.274341982447906219e+01,4.133174771991740540e-44
1.388255866200703181e+01,4.388055661039395403e-44
1.512352552600178512e+01,4.726001595885521735e-44
1.647542286002206779e+01,5.003292219031624576e-44
1.794816677829870954e+01,5.210003367596879791e-44
1.955255980004592686e+01,5.486134659662026692e-44
2.130037008551854427e+01,5.770588018153385022e-44
2.320441775500865589e+01,6.254609669397456445e-44
2.527866892392789566e+01,6.773675878141166106e-44
2.753833814371951405e+01,7.177409473982696462e-44
2.999999999999999645e+01,7.703287902410910463e-44
