x_GeV_per_c2,y_cm2
2.006069802731411222e+00,8.131453400614404952e-42
2.009104704097116834e+00,7.982360355784797042e-42
2.012139605462822445e+00,7.836262069994776052e-42
2.015174506828528056e+00,7.693094002476849220e-42
2.018209408194233667e+00,7.552793087395788751e-42
2.021244309559939278e+00,7.415297698392906965e-42
2.024279210925644890e+00,7.280547614021495589e-42
2.027314112291350501e+00,7.148483984051178159e-42
2.030349013657056112e+00,7.019049296615828811e-42
2.033383915022761723e+00,6.892187346186469245e-42
2.036418816388467334e+00,6.767843202344346458e-42
2.039453717754172946e+00,6.645963179336098793e-42
2.042488619119878557e+00,6.526494806388589782e-42
2.045523520485584168e+00,6.409386798764580708e-42
2.048558421851289779e+00,6.294589029540174484e-42
2.051593323216995390e+00,6.182052502084767185e-42
2.054628224582701002e+00,6.071729323225009522e-42
2.057663125948406613e+00,5.963572677076853712e-42
2.060698027314112224e+00,5.857536799525800134e-42
2.063732928679817835e+00,5.753576953340278221e-42
2.066767830045523446e+00,5.651649403902077730e-42
2.069802731411229058e+00,5.551711395535826535e-42
2.072837632776934669e+00,5.453721128425255792e-42
2.075872534142640280e+00,5.357637736097625403e-42
2.078907435508345891e+00,5.263421263464812116e-42
2.081942336874051502e+00,5.171032645404569207e-42
2.084977238239757114e+00,5.080433685869430316e-42
2.088012139605462725e+00,4.991587037508607993e-42
2.091047040971168336e+00,4.904456181790839357e-42
2.094081942336873947e+00,4.819005409614839596e-42
2.097116843702579558e+00,4.735199802394352196e-42
2.100151745068285614e+00,4.653005213607018334e-42
2.103186646433990781e+00,4.572388250793885439e-42
2.106221547799696836e+00,4.493316257998776092e-42
2.109256449165402003e+00,4.415757298636086483e-42
2.112291350531108058e+00,4.339680138776333720e-42
2.115326251896813226e+00,4.265054230838749592e-42
2.118361153262519281e+00,4.191849697680100505e-42
2.121396054628224448e+00,4.120037317070530612e-42
2.124430955993930503e+00,4.049588506546119572e-42
2.127465857359635670e+00,3.980475308628556228e-42
2.130500758725341726e+00,3.912670376402789596e-42
2.133535660091046893e+00,3.846146959443804674e-42
2.136570561456752948e+00,3.780878890083307987e-42
2.139605462822458115e+00,3.716840570007915166e-42
2.142640364188164170e+00,3.654006957181012743e-42
2.145675265553869338e+00,3.592353553078831211e-42
2.148710166919575393e+00,3.531856390234448713e-42
2.151745068285280560e+00,3.472492020080980595e-42
2.154779969650986615e+00,3.414237501086389519e-42
2.157814871016691782e+00,3.357070387173318206e-42
2.160849772382397838e+00,3.300968716416159678e-42
2.163884673748103005e+00,3.245911000008623670e-42
2.166919575113809060e+00,3.191876211495403916e-42
2.169954476479514227e+00,3.138843776260765908e-42
2.172989377845220282e+00,3.086793561267823598e-42
2.176024279210925449e+00,3.035705865042618261e-42
2.179059180576631505e+00,2.985561407896537276e-42
2.182094081942336672e+00,2.936341322381408447e-42
2.185128983308042727e+00,2.888027143970809557e-42
2.188163884673747894e+00,2.840600801963330982e-42
2.191198786039453950e+00,2.794044610600806950e-42
2.194233687405159117e+00,2.748341260397053817e-42
2.197268588770865172e+00,2.703473809671986889e-42
2.200303490136570339e+00,2.659425676285320115e-42
2.203338391502276394e+00,2.616180629565731465e-42
2.206373292867981561e+00,2.573722782430138343e-42
2.209408194233687617e+00,2.532036583688542394e-42
2.212443095599392784e+00,2.491106810530164669e-42
2.215477996965098839e+00,2.450918561185949767e-42
2.218512898330804006e+00,2.411457247763249112e-42
2.221547799696510062e+00,2.372708589248736022e-42
2.224582701062215229e+00,2.334658604675182061e-42
2.227617602427921284e+00,2.297293606448014141e-42
2.230652503793626451e+00,2.260600193828048796e-42
2.233687405159332506e+00,2.224565246566098775e-42
2.236722306525037673e+00,2.189175918686452799e-42
2.239757207890743729e+00,2.154419632414788219e-42
2.242792109256448896e+00,2.120284072247655061e-42
2.245827010622154951e+00,2.086757179159795016e-42
2.248861911987860118e+00,2.053827144945915163e-42
2.251896813353566174e+00,2.021482406693751896e-42
2.254931714719271341e+00,1.989711641385178025e-42
2.257966616084977396e+00,1.958503760622346560e-42
2.261001517450682563e+00,1.927847905475775485e-42
2.264036418816388618e+00,1.897733441451361945e-42
2.267071320182093785e+00,1.868149953573522630e-42
2.270106221547799841e+00,1.839087241581774099e-42
2.273141122913505008e+00,1.810535315237656065e-42
2.276176024279211063e+00,1.782484389739879781e-42
2.279210925644916230e+00,1.754924881244594056e-42
2.282245827010622286e+00,1.727847402488502227e-42
2.285280728376327453e+00,1.701242758512255043e-42
2.288315629742033508e+00,1.675101942481960156e-42
2.291350531107738675e+00,1.649416131605981134e-42
2.294385432473444730e+00,1.624176683145252244e-42
2.297420333839149897e+00,1.599375130514506852e-42
2.300455235204855953e+00,1.575003179472523965e-42
2.303490136570561564e+00,1.551052704398923328e-42
2.306525037936267175e+00,1.527515744655913092e-42
2.309559939301972786e+00,1.492636354035322678e-42
2.312594840667678397e+00,1.469745536080604192e-42
2.315629742033384009e+00,1.447344282545231650e-42
2.318664643399089620e+00,1.425301853240241165e-42
2.321699544764795231e+00,1.403610298350511902e-42
2.324734446130500842e+00,1.382381221305348936e-42
2.327769347496206453e+00,1.361489783565046376e-42
2.330804248861912065e+00,1.340928401187607768e-42
2.333839150227617676e+00,1.320803721193854222e-42
2.336874051593323287e+00,1.300996511005360450e-42
2.339908952959028898e+00,1.282136797792018001e-42
2.342943854324734509e+00,1.263540512450651748e-42
2.345978755690440121e+00,1.245100098200964357e-42
2.349013657056145732e+00,1.227026752831661148e-42
2.352048558421851343e+00,1.209211152808442144e-42
2.355083459787556954e+00,1.191549986573088980e-42
2.358118361153262565e+00,1.174245003734754196e-42
2.361153262518968177e+00,1.157191230532616724e-42
2.364188163884673788e+00,1.140476841268075376e-42
2.367223065250379399e+00,1.124184772716821257e-42
2.370257966616085010e+00,1.108934896702679809e-42
2.373292867981790621e+00,1.093753723184829579e-42
2.376327769347496233e+00,1.078563140095475987e-42
2.379362670713201844e+00,1.063289385726004080e-42
2.382397572078907455e+00,1.047957962488115674e-42
2.385432473444613066e+00,1.032593186644635620e-42
2.388467374810318677e+00,1.017552523252318454e-42
2.391502276176024289e+00,1.002743980350852827e-42
2.394537177541729900e+00,9.882471489362461062e-43
2.397572078907435511e+00,9.747732333647354756e-43
2.400606980273141122e+00,9.615325991746168250e-43
2.403641881638846733e+00,9.485191631963648404e-43
2.406676783004552345e+00,9.356501506073092322e-43
2.409711684370257956e+00,9.222446392809334862e-43
2.412746585735963567e+00,9.089643923000811384e-43
2.415781487101669178e+00,8.958849540813250053e-43
2.418816388467374789e+00,8.830774526908557323e-43
2.421851289833080401e+00,8.704621289399693056e-43
2.424886191198786012e+00,8.581081343307242241e-43
2.427921092564491623e+00,8.459380148673153602e-43
2.430955993930197234e+00,8.340190161957435424e-43
2.433990895295902845e+00,8.224785978248173713e-43
2.437025796661608457e+00,8.110970694723657152e-43
2.440060698027314068e+00,7.998080930038013150e-43
2.443095599393019679e+00,7.886169844529915018e-43
2.446130500758725290e+00,7.775925762630593892e-43
2.449165402124430901e+00,7.667303477415972012e-43
2.452200303490136513e+00,7.560911950616027540e-43
2.455235204855842124e+00,7.456068857820865253e-43
2.458270106221547735e+00,7.353366888955419244e-43
2.461305007587253346e+00,7.252143016465884283e-43
2.464339908952958957e+00,7.152974217188328312e-43
2.467374810318664569e+00,7.055825460946033723e-43
2.470409711684370180e+00,6.959489353637896605e-43
2.473444613050075791e+00,6.865135984865352668e-43
2.476479514415781402e+00,6.772145597710800296e-43
2.479514415781487013e+00,6.681056158880022374e-43
2.482549317147192625e+00,6.591265145072310917e-43
2.485584218512898236e+00,6.503296699217822262e-43
2.488619119878603847e+00,6.416564926415211713e-43
2.491654021244309458e+00,6.331580607153210266e-43
2.494688922610015069e+00,6.247773895905928155e-43
2.497723823975720681e+00,6.165136129371460705e-43
2.500758725341426292e+00,6.083658201992091243e-43
2.503793626707132347e+00,6.003823822694225748e-43
2.506828528072837514e+00,5.925092175523315910e-43
2.509863429438543569e+00,5.847934910439445198e-43
2.512898330804248737e+00,5.771825844856833593e-43
2.515933232169954792e+00,5.697224958199145342e-43
2.518968133535659959e+00,5.623620197904843938e-43
2.522003034901366014e+00,5.551460243859741603e-43
2.525037936267071181e+00,5.480269778397897847e-43
2.528072837632777237e+00,5.410041169827791735e-43
2.531107738998482404e+00,5.341205247081458793e-43
2.534142640364188459e+00,5.273281759830685360e-43
2.537177541729893626e+00,5.206691173750855685e-43
2.540212443095599681e+00,5.141409929979421575e-43
2.543247344461304849e+00,5.076559329043173802e-43
2.546282245827010904e+00,5.012993168283872330e-43
2.549317147192716071e+00,4.950260632380750228e-43
2.552352048558422126e+00,4.888756287554226168e-43
2.555386949924127293e+00,4.828041055985403652e-43
2.558421851289833349e+00,4.768500274357432040e-43
2.561456752655538516e+00,4.709726045522422067e-43
2.564491654021244571e+00,4.651711843726791615e-43
2.567526555386949738e+00,4.594828384134338592e-43
2.570561456752655793e+00,4.538663026914144210e-43
2.573596358118360961e+00,4.483577987806094820e-43
2.576631259484067016e+00,4.429553709313346311e-43
2.579666160849772183e+00,4.375833539091946762e-43
2.582701062215478238e+00,4.323153477726380153e-43
2.585735963581183405e+00,4.271494287857184192e-43
2.588770864946889461e+00,4.220472609725025339e-43
2.591805766312594628e+00,4.170425412249745338e-43
2.594840667678300683e+00,4.121334860183379534e-43
2.597875569044005850e+00,4.072497122058549638e-43
2.600910470409711905e+00,4.024597168942531197e-43
2.603945371775417073e+00,3.977617484065968676e-43
2.606980273141123128e+00,3.931201385155346705e-43
2.610015174506828295e+00,3.885343739397735333e-43
2.613050075872534350e+00,3.840039255549203025e-43
2.616084977238239517e+00,3.795594311842453624e-43
2.619119878603945573e+00,3.751992668395921196e-43
2.622154779969650740e+00,3.708898098568580146e-43
2.625189681335356795e+00,3.666305870448105784e-43
2.628224582701061962e+00,3.624524143901719196e-43
2.631259484066768017e+00,3.583227880791960305e-43
2.634294385432473184e+00,3.542703273330314646e-43
2.637329286798179240e+00,3.502647854216998914e-43
2.640364188163884407e+00,3.463056800689487320e-43
2.643399089529590462e+00,3.424206486530810580e-43
2.646433990895295629e+00,3.386082555106609167e-43
2.649468892261001685e+00,3.348395875574623330e-43
2.652503793626706852e+00,3.311141713440140331e-43
2.655538694992412907e+00,3.274584254794308947e-43
2.658573596358118074e+00,3.238709813329246721e-43
2.661608497723824129e+00,3.203228350909382420e-43
2.664643399089529296e+00,3.168135696628346564e-43
2.667678300455235352e+00,3.133698229109917664e-43
2.670713201820940519e+00,3.099902907958550026e-43
2.673748103186646574e+00,3.066472142358860336e-43
2.676783004552351741e+00,3.033401871035592965e-43
2.679817905918057797e+00,3.000947129526416537e-43
2.682852807283762964e+00,2.968839087543707308e-43
2.685887708649469019e+00,2.937314983437512631e-43
2.688922610015174186e+00,2.906124351654300154e-43
2.691957511380880241e+00,2.875511535647924703e-43
2.694992412746585408e+00,2.845218998579670311e-43
2.698027314112291464e+00,2.815242819921653262e-43
2.701062215477997075e+00,2.785819616996749957e-43
2.704097116843702686e+00,2.756937929768830668e-43
2.707132018209408297e+00,2.728350923697632118e-43
2.710166919575113909e+00,2.700054845980454024e-43
2.713201820940819520e+00,2.672276683233518122e-43
2.716236722306525131e+00,2.645005573055395879e-43
2.719271623672230742e+00,2.618015824769839602e-43
2.722306525037936353e+00,2.591303522262913869e-43
2.725341426403641965e+00,2.565075439403963981e-43
2.728376327769347576e+00,2.539321298374184436e-43
2.731411229135053187e+00,2.513824540185255960e-43
2.734446130500758798e+00,2.488581451527328308e-43
2.737481031866464409e+00,2.463790693228301171e-43
2.740515933232170021e+00,2.439242138146020424e-43
2.743550834597875632e+00,2.415140728228911131e-43
2.746585735963581243e+00,2.391476712771801915e-43
